Zipcode	SCORE	GRADE
10128		
10039	7	A
11230		
10036	30	
10314	17	B
10027	10	A
11205	28	
11373	9	A
10460	0	
	10	A
10282	29	
11377	11	A
11235	30	Not Yet Graded
10019	9	A
10168	76	
11223	33	
10036	12	A
10036	19	
11216	23	
10014	22	
10014	9	A
11355	19	
10014	17	
11434	13	A
10001	34	
11101	3	C
10026	7	A
10012	5	A
10467	13	A
11432	12	A
11421	22	
11362	6	A
10012	16	
	36	
10013	12	A
11215	23	
10016	16	
11214	12	A
10018	8	A
11432	5	A
10003	11	A
11373	12	A
10463	27	
11211	12	A
10003	10	A
11232	41	
10001	40	
10454	25	
10003	9	A
11216	17	
11205	13	A
10451	13	
11237	12	A
10305	4	A
10002	9	A
11237	8	A
10024	12	A
10467	15	
11105	19	
11232	29	
11208	5	A
11428	8	A
11433	12	A
10011	25	
11249	23	
11219	10	A
10018	52	
11225	13	A
10035	27	
10033	13	
10028	20	
10016	4	A
10003	13	
10461	9	A
11421	51	
10302	31	
11207	7	A
11375	12	A
10011		
10305		
11364	12	A
10016	10	
11229	9	A
11219	29	
11214	13	A
10027	49	
11203	12	A
11102	16	
10013	8	A
10472	13	A
10010	10	A
10022	13	A
11105	21	
11217	33	C
10002	9	A
10281	5	A
11229	25	
11102	12	
10024	4	A
11215		
11226	12	
10458	12	A
11368	8	A
11375	9	A
10014	13	A
10024	8	A
11209	34	
11238	31	
11235	25	
11109	38	C
10014	29	
11372	12	A
11214	38	C
11368	11	
11231	36	
10014	10	A
	12	A
10036	9	A
11217	23	
10023	10	A
10031		
11358	13	A
11211	23	B
10012	0	
10025	24	
10016	11	A
10474	9	A
10024	43	
10019	28	
11361	7	A
10451	19	P
10038	8	A
11377	7	A
11218	14	
11354	28	
11375	22	
11218	6	A
10036	22	
10022	23	
10169	0	A
11212	22	
11237	9	A
11211	22	
10301		
10012		
11372	7	A
11434	19	Z
10310	13	A
10306	13	A
11236	15	B
11208	7	A
11226	13	A
11372	32	
11358	34	
11211	30	
10463	30	
10010	12	A
10025	44	
11215	33	
10457	7	A
10028	7	A
10012	13	A
11102	32	
11211	13	A
11222	13	A
11355	41	
10280	14	B
11215	13	A
11201	12	A
10019	15	
11217	11	A
11238	9	A
10026	22	B
10025	35	
11215	11	A
11204	10	A
10022	76	
10017	6	A
11106	12	A
10038	17	
